"Ausstatter";"Bemerkungen";"Bildmass";"Blattmass";"Figurine";"RepertoirenID";"Schachtel";"Schauplatz";"Signatur";"Technik";"Versicherungswert"
"Hans Stettbacher";"UA. Entwurf und Fig. in weissem Umschlag. Plus weisser Umschlag mit Titelblatt ""Der wachsame Soldat"", darunter eine Figurine ""Ballett"": Bleistift, Aquarell und Feder mit Tinte. Hellblauer Umschlag. Vorderseite Figurine: Feder mit blauer Tusche. Rückseite: Bleistiftskizze. Umschlag-Grösse 25,2 x 17,8 (4°)  Dazu: 2 Bl. mit Angaben zum Stück, Besetzung und Inhaltsangabe in Schreibm.-Schrift.
";;"24,9 x 17,9";;"90001194205012";;"Repräsentations-Rahmen";"Stettbacher 05a";"Aquarell über Bleistift auf weissem Papier";
"Hans Stettbacher";"UA. Entwurf und Fig. in weissem Umschlag. Plus weisser Umschlag mit Titelblatt ""Der wachsame Soldat"", darunter eine Figurine ""Ballett"": Bleistift, Aquarell und Feder mit Tinte. Hellblauer Umschlag. Vorderseite Figurine: Feder mit blauer Tusche. Rückseite: Bleistiftskizze. Umschlag-Grösse 25,2 x 17,8 (4°)  Dazu: 2 Bl. mit Angaben zum Stück, Besetzung und Inhaltsangabe in Schreibm.-Schrift.
";;"25,0 x 18,0";"König";"90001194205012";;;"Stettbacher 05b";"Aquarell über Bleistift auf weissem Papier";
"Hans Stettbacher";"UA. Entwurf und Fig. in weissem Umschlag. Plus weisser Umschlag mit Titelblatt ""Der wachsame Soldat"", darunter eine Figurine ""Ballett"": Bleistift, Aquarell und Feder mit Tinte. Hellblauer Umschlag. Vorderseite Figurine: Feder mit blauer Tusche. Rückseite: Bleistiftskizze. Umschlag-Grösse 25,2 x 17,8 (4°)  Dazu: 2 Bl. mit Angaben zum Stück, Besetzung und Inhaltsangabe in Schreibm.-Schrift.
";;"25,2 x 17,7";"Prinzessin";"90001194205012";;;"Stettbacher 05c";"Aquarell über Bleistift auf weissem Papier";
"Hans Stettbacher";"UA. Entwurf und Fig. in weissem Umschlag. Plus weisser Umschlag mit Titelblatt ""Der wachsame Soldat"", darunter eine Figurine ""Ballett"": Bleistift, Aquarell und Feder mit Tinte. Hellblauer Umschlag. Vorderseite Figurine: Feder mit blauer Tusche. Rückseite: Bleistiftskizze. Umschlag-Grösse 25,2 x 17,8 (4°)  Dazu: 2 Bl. mit Angaben zum Stück, Besetzung und Inhaltsangabe in Schreibm.-Schrift.
";;"25,1 x 17,7";"(Titel nicht lesbar, 2 Figurinen und ein Maskendetail)";"90001194205012";;;"Stettbacher 05d";"Aquarell über Bleistift und Bleistift auf weissem Papier";
"Hans Stettbacher";"UA. Entwurf und Fig. in weissem Umschlag. Plus weisser Umschlag mit Titelblatt ""Der wachsame Soldat"", darunter eine Figurine ""Ballett"": Bleistift, Aquarell und Feder mit Tinte. Hellblauer Umschlag. Vorderseite Figurine: Feder mit blauer Tusche. Rückseite: Bleistiftskizze. Umschlag-Grösse 25,2 x 17,8 (4°)  Dazu: 2 Bl. mit Angaben zum Stück, Besetzung und Inhaltsangabe in Schreibm.-Schrift.
";;"25,0 x 17,8";"Gespielinnen";"90001194205012";;;"Stettbacher 05e";"Aquarell über Bleistift auf weissem Papier";
"Hans Stettbacher";"fehlt; Ausstellung Luzern 1977";;;;"90001194205012";;;"Stettbacher 05f";;
"Hans Stettbacher";"fehlt; Ausstellung Luzern 1977";;;;"90001194205012";;;"Stettbacher 05g";;
"Hans Stettbacher";"fehlt; Ausstellung Luzern 1977";;;;"90001194205012";;;"Stettbacher 05h";;
"Hans Stettbacher";"fehlt; Ausstellung Luzern 1977";;;;"90001194205012";;;"Stettbacher 05i";;
"Hans Stettbacher";"fehlt; Ausstellung Luzern 1977";;;;"90001194205012";;;"Stettbacher 05k";;
"Hans Stettbacher";"fehlt; Ausstellung Luzern 1977";;;;"90001194205012";;;"Stettbacher 05l";;
