"Bemerkungen";"Buehnenbildmodell";"Buehnenbildner";"Buehnenbildrelief";"Masse";"Massstab";"RepertorienID";"Schachtel";"Schauplatz";"Signatur";"Standort";"Theaterbaumodell";"Versicherungswert"
;"x";"Robert Furrer";;"45 x 70 x 66 ";;"80020193811031";;;"1900.078";"7-4-h";;3000
;"x";"Max Bignens";;"52 x 57 x 62";;"30010194401311";;"Drehbühne";"1900.090";"4-Ausstellung STS";;4000
"Drehbühne. Total 6 Fotografien auf 2 Datensätze verteilt";"x";"Max Bignens";;"38 x 55 x 55";;"30010194509051";;;"1900.094";"7-6-vo";;2000
;"x";"Eduard Gunzinger";;"51 x 62 x 46";;"40010194904231";;;"1900.103";"7-4-vo";;2500
;"x";"Heinrich Müller";;"36 x 69 x 57";;"30010195010201";;;"1900.121";"6-4-vm";;1500
;"x";"Jörg Zimmermann";;"29 x 61 x 44";;"80020196709071";;;"1967.001";"7-5-h";;2000
;"x";"Kony Müller";;"28 x 43 x 47";"1 : 20";"84020197411201";;;"1974.001";"6-3-vm";;2000
;"x";"Marietta Eggmann";;"36 x 83 x 41";;"30040196902161";;;"1981.001";"6-3-vm";;2000
"Premiere Solothurn: 20.9.94; Premiere Biel: 22.9.94";"x";"Andreas Tschui";;"40 x 29 x 32";;"25010199409201";"1995:01";;"1995.003";"Aussenlager Hodlerstrasse Raum B L-1";;
"x";;"Ary Oechslin";"x";;;"30010196801201";;"Fichtelgebirge";"1979.001";;;
"x";;"Ary Oechslin";"x";;;"30010197105061";;"An einem Brunnen?";"1979.002";;;
"x";;"Ary Oechslin";"x";;;"30010196811041";;"III. Akt: Auf dem Schiff.";"1979.003";;;
"x";;"Ary Oechslin";"x";;;"30010197110241";;"Zwischenvorhang";"1979.005";;;
"x";;"Ary Oechslin";"x";;;"30010196709031";;"I.1./II.3./III.1.,6: Eine Strasse oder III.2: Vor Hastings Haus oder III.3: Zu Pomfret vor der Burg oder III.3: Der Hof in Booynards Schloss oder V.1: Salisbury, ein offener Platz?";"1979.006";;;
"x";"x";"Ary Oechslin";;"25 x 32 x 27";;"30020195910011";;"Zimmer beim Musikus oder Ein sehr prächtiger Saal bei der Lady?";"1900.119";"6-7-vu";;1500
;"x";"Ary Oechslin";;;;"30010197309151";;"Die Bühne bleibt Bühne: rechts Freitreppe in chinesischer Manier, links Sesselgruppe in moderner Manier.";"1979.008";"6-9-vm";;
"x";"x";"Ary Oechslin";;"19 x 41 x 31";;"30020196204261";;"5./8./10./12. Bild: Platz von Andorra. (ev. Grundbau)";"1979.009";"7-5-vo";;1000
;"x";"Ary Oechslin";;;;"30010197209241";;"II. Akt: Schenke des Lillas Pastia.";"1979.010";"6-7-vm";;
;"x";"Ary Oechslin";;"30 x 53 x 45";;"30010196812141";;"Auftritt 1-24: Schlachtfeld bei Troja.";"1979.011";"7-8-vo";;2000
"x";"x";"Ary Oechslin";;"37 x 52 x 35";;"30010196704251";;"III.1.";"1979.012";"7-9-vo";;1500
;"x";"Ary Oechslin";;;;"30010197102281";;"Grundbau?";"1979.013";"7-3-vm";;
;"x";"Ary Oechslin";;"37 x 55 x 51";;"30010196806091";;"I. Akt: Galerie in Créons Palast.";"1979.014";"7-9-vm";;2000
;;"Ary Oechslin";;;;"30010197504061";;"Bühnenskulptur: ""Hitler-Vogelscheuche“";"1979.015";"7-1-v";;
