Bemerkungen,Drucker,Grafiker,Masse,Plakatart,RepertorienID,Signatur,Technik,tempID,Verso
[1D],,Stephan Bundi,29.7 x 42.0 cm,Stückplakat,300071975031001,PL 001.001,Siebdruck,1,
Video-Theater,,,42.0 x 34.0 cm,Stückplakat,300071985083101,PL 001.002,Offfsetdruck,2,
,,,29.7 x 42.0 cm,Stückplakat,100021993091501,PL 001.003,Offsetdruck,3,
,,,29.7 x 42.0 cm,Stückplakat,100021993112301,PL 001.004,Offsetdruck,4,
,,Werner Jeker,42.0 x 29.7 cm,Stückplakat,100021994012501,PL 001.005,Offsetdruck,5,
,,,42.0 x 29.7 cm,Stückplakat,100021994042101,PL 001.006,Offsetdruck,6,
,,,42.0 x 29.7 cm,Stückplakat,100021993092801,PL 001.007,Siebdruck,7,
,,,42.0 x 29.7 cm,Stückplakat,100021993101401,PL 001.008,Offsetdruck,8,
,,,42.0 x 29.7 cm,Stückplakat,100021993101201,PL 001.009,Offsetdruck,9,
,,,42.0 x 29.7 cm,Stückplakat,100021993102601,PL 001.010,Offsetdruck,10,
,,,42.0 x 29.7 cm,Stückplakat,100021993110201,PL 001.011,Offsetdruck,11,
,Serigraphie Albin Uldry,Werner Jeker,42.0 x 29.7 cm,Stückplakat,100021993113001,PL 001.012,Siebdruck,12,
,,,42.0 x 29.7 cm,Stückplakat,100021994011101,PL 001.013,Offsetduck,13,
,,,42.0 x 29.7 cm,Stückplakat,100021994030101,PL 001.014,Offsetdruck,14,
,,,42.0 x 29.7 cm,Stückplakat,100021994032401,PL 001.015,Offsetdruck,15,
,,,42.0 x 29.7 cm,Stückplakat,100021994041901,PL 001.016,Offsetdruck,16,
,,,42.0 x 29.7 cm,Stückplakat,100021994031601,PL 001.017,Offsetdruck,17,
,,,42.0 x 29.7 cm,Stückplakat,100021994051001,PL 001.018,Offsetdruck,18,
Premiere Solothurn: 29.4.1939,,,40.3 x 29.0,Stückplakat,250011939042901,PL 001.019,Buchdruck,19,
,,,42.0 x 29.7 cm,Stückplakat,300021996110501,PL 001.020,Offsetdruck,20,
Prod. Truppe: Genève: Théâtre en flammes,,,42.0 x 29.7 cm,Stückplakat,120051995032801,PL 001.027,Offsetdruck,21,
Le groupe Karl Specht joue dans “La Duchesse de Malfi” et dans d'autres spectacles de la saison,,,42.0 x 29.7 cm,Stückplakat,100021990091901,PL 001.044,Offsetdruck,22,
Aufführungsstätte: Chapiteau,,,42.0 x 29.7 cm,Stückplakat,100021990093001,PL 001.045,Offsetdruck,23,
Aufführungsstätte: La Passerelle,,,42.0 x 29.7 cm,Stückplakat,100021990112001,PL 001.046,Offsetdruck,24,
,,,42.0 x 29.7 cm,Stückplakat,100021990120401,PL 001.047,Offsetdruck,25,
Aufführungsstätte: La Passerelle; Prod. Truppe: Co-Prod.: Théâtre de Lyon; Le Sorano Théâtre National Toulouse Midi-Pyrénées,,,42.0 x 29.7 cm,Stückplakat,100021991011501,PL 001.049,Offsetdruck,26,
