ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Bod_Alias,Attribute_Byline_Description,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_40000,Chappeler Dorftheater,,,??,,??,??,CH,x,,Amathea,a,?,,,,,,
AC_40001,Laienbühne Hinterthurgau,,,Aadorf,,Aadorf,TG,CH,x,,x,a,?,,,,,,
AC_40002,Aarauer Laienspielgruppe der ökonomischen Erwachsenenbildung Aarau,,,Aarau,,Aarau <nicht ZSV>,AG,CH,x,,x,na,?,,,,,1 C <Sammelcouvert>,1983
AC_40003,Aarauer Vokalisten,,,Aarau,,Aarau <nicht ZSV>,AG,CH,x,,x,na,?-2013,,,,,1 C <Sammelcouvert>,2004 / 2005
AC_40004,Aargauer Theaterleute,,,Aarau,,Aarau <nicht ZSV>,AG,CH,x,,x,a,(noch existent?),,,,,1 C <Sammelcouvert>,1989
AC_40005,Aargauische Mundartbühne,,,Aarau,,Aarau,AG,CH,x,,x,na,1941-1943,,,,,,
AC_40006,Aargauer Vokalisten,,,Aarau,,Aarau <nicht ZSV>,AG,CH,www.aargauer-vokalisten.ch,,x,a,2013-,Aarauer Vokalisten,,,,x,x
AC_40007,<Theatergruppe Alte und Neue Kantonsschule>,Kanti-Theater Aarau,,Aarau,,Aarau: Neue Kantonsschule <nicht ZSV>,AG,CH,www.nksa.ch,,x,a,?,,,,,1 C,1984 / 1992 / 1996 / 1997 / 1999 / 2001 / 2002
AC_40008,<Theatergruppe Berufsschule Aarau>,,,Aarau,,Aarau: Berufsschule Aarau <nicht ZSV>,AG,CH,www.bs-aarau.ch,,x,a,?,,,,,1 C <Sammelcouvert>,2005
AC_40009,<Theatergruppe Bezirksschule Aarau>,,,Aarau,,Aarau: Bezirksschule Aarau <nicht ZSV>,AG,CH,www.schule-aarau.ch/sekundarstufe-1/bezirksschule,,x,a,?,,,,,1 C <Sammelcouvert>,1997 / 2002
AC_40010,Compagnia Siparios,,,Aarau,,Aarau,AG,CH,x,,FFSI,a,?,,,,,,
AC_40011,Groupe Théàtrale Eglise Réformée Française d'Argovie,,,Aarau,,Aarau: <nicht ZSV>,AG,CH,www.eglise-argovie.ch,,x,na,?,,,,,1 C,1988 / 1989 / 1993
AC_40012,Freilichttheater Schlossplatz,Freilichttheater Aarau,,Aarau,,Aarau,AG,CH,x,,x,na,-2010,,,,,,
AC_40013,<Theatergruppe Heimgarten Aarau>,,Haus für Frauen,Aarau,,Aarau: Heimgarten Aarau <nicht ZSV>,AG,CH,www.heimgarten-aarau.ch,,x,a,?,,,,,1 C <Sammelcouvert>,2013
AC_40014,Laienspielgruppe Aarau,,,Aarau,,Aarau <nicht ZSV>,AG,CH,x,,x,na,?,,,,,1 C <Sammelcouvert>,1942
AC_40015,<Theatergruppe Lehramtsschule>,,,Aarau,,Aarau: Lehramtsschule <nicht ZSV>,AG,CH,x,,x,na,?,,,,,1 C <Sammelcouvert>,1998
AC_40016,<Theatergruppe Pädagogische Hochschule>,,,Aarau,,Aarau: Pädagogische Hochschule <nicht ZSV>,AG,CH,www.fhnw.ch/ph,,x,a,?,,,,,1 C <Sammelcouvert>,2006
AC_40017,Seniorentheater Aarau,,,Aarau,,Aarau,AG,CH,x,,x,a,(noch existent?),,,,,,
AC_40018,Theater@49,,,Aarau,,Aarau <nicht ZSV>,AG,CH,x,,x,a,?,,,,,1 C <Sammelcouvert>,2012
AC_40019,Theater Pro Senectute Aargau,,,Aarau,,Aarau,AG,CH,x,,x,a,(noch existent?),,,,,,
AC_40020,<Theatergruppe der reformierten Kirchgemeinde Aarau>,,,Aarau,,Aarau <nicht ZSV>,AG,CH,www.ref-aarau.ch,,x,a,(noch existent?),,,,,1 C <Sammelcouvert>,2001
AC_40021,Theatergruppe GaukeLaien,,,Aarau,,Aarau,AG,CH,www.gaukelaien.ch,,VAV,a,1984-,,,,,,
AC_40022,Theatergruppe Placebo,,,Aarau,,Aarau: Theatergruppe Placebo <nicht ZSV> ,AG,CH,x,,x,na,?,,,,,1 C <Sammelcouvert>,1990
AC_40023,Teatrum rumpum,,,Aarau,,Aarau <nicht ZSV>,AG,CH,x,,x,na,?,,,,,1 C,1983 / 1984
AC_40024,Aarberger Bühne,,,Aarberg,,Aarberg,BE,CH,www.aarberger-buehne.ch,,x,a,1986-,,,,,,
AC_40025,ensemble 01,,,Aarberg,,Aarberg,BE,CH,www.ensemble01.ch,,x,a,?,,,,,,
AC_40026,Freilichtspiele Aarberg,,Verein,Aarberg,,Aarberg,BE,CH,x,,x,a,?,,,,,,
AC_40027,<Theatergruppe Männerchor Harmonie>,,,Aarberg,,Aarberg: Männerchor Harmonie,BE,CH,x,,x,na,?,,,,,,(1954)-(1956)
AC_40028,Theater vom Richtplatz,,,Aarburg,,Aarburg,AG,CH,www.richtplatz.ch,,x,a,1993-,"Theater auf dem Richtplatz, Verein Theater vom Richtplatz",,,,,
AC_40029,Theatergesellschaft Adligenswil,TGA,,Adligenswil,,Adligenswil,LU,CH,www.theateradligenswil.ch,,RZV,a,1989-,,,,,,
AC_40030,Zirkusschule Marotte,Kinder- und Jugendzirkus Marotte,,Adliswil,,Adliswil <nicht ZSV>,ZH,CH,www.marotte.ch,,x,a,?,,,,,x,x
AC_40031,Jugend-Theater Adliswil,,,Adliswil,,Adliswil,ZH,CH,x,,,a,(noch existent?),,,,,,
AC_40032,Jugendtheater NI&Co,,,Adlliswil,,Adlliswil,ZH,CH,www.theater-niundco.ch/,,RVA,a,2005-,,,,,,
AC_40033,Theater Adliswil,,,Adliswil,,Adliswil,ZH,CH,www.theater-adliswil.ch,,RVA,a,?-,Dramatischer Verein Adliswil (DVA),,,,,
AC_40034,Dramatischer Verein Adliswil,DVA,,Adliswil,,Adliswil,ZH,CH,www.theater-adliswil.ch,,RVA,na,1921-,,Theater Adliswil,,,,
AC_40035,Theater Rohrbruch,,,Adliswil,,Adliswil,ZH,CH,www.rohrbruch.ch,,RVA,a,1995-,,,,,,
AC_40036,Theatergruppe Aedermannsdorf,,,Aedermannsdorf,,Aedermannsdorf,SO,CH,x,,x,a,?,,,,,,
AC_40037,Dorfbühne Trachtenverein Aesch,Dorfbühni Aesch,,Aesch BL,,Aesch BL,BL,CH,www.trachtenvereinaesch.ch/dorfbuehni.php,,RVNWS,a,?,,,,,,
AC_40038,Theatergruppe Aesch,,,Aesch BL,,Aesch BL,BL,CH,www.theatergruppe-aesch.ch,,RVNWS,a,?- bzw. 1995-,,,,,,
AC_40039,Theatergruppe Aesch bei Birmensdorf,,,Aesch bei Birmensdorf,,Aesch bei Birmensdorf,ZH,CH,x,,x,a,?,,,,,,
AC_40040,Oberländer Kammerbühne,,,Aeschi BE,,Aeschi BE,BE,CH,x,,Amathea,a,?,,,,,,
AC_40041,<Theatergruppe Turnverein Aeschi>,,,Aeschi SO,,Aeschi SO,SO,CH,www.tvaeschi.ch,,NWS,a,?,,,,,,
AC_40042,<Theatergruppe Trachtengruppe Aeschi>,,,Aeschi bei Spiez,,Aeschi bei Spiez: Trachtengruppe Aeschi,BE,CH,x,,Amathea,a,?,,,,,,
AC_40043,<Theatergruppe Jodlergruppe Alpengruss>,,,Aeschiried,,Aeschiried: Jodlergruppe Alpengruss,BE,CH,x,,Amathea,a,?,,,,,,
AC_40044,Theatergruppe Aeugst am Albis,Theater Gruppe Aeugst,,Aeugst a/A,,Aeugst a/A,ZH,CH,x,,RVA,a,?,,,,,,
AC_40045,Aemtler Bühne Affoltern am Albis,Ämtler Bühne,,Affoltern a/A <früher: Hausen a/a>,,Affoltern a/A <z.T. auch unter Hausen?>,ZH,CH,www.aemtlerbuehne.ch,,RVA,a,1984-,,,,,,
AC_40046,<Theatergruppe Männerchor Affoltern>,,,Affoltern i/E,,Affoltern i/E: Männerchor Affoltern,BE,CH,x,,Amathea,a,?,,,,,,
AC_40047,Trachtengruppe Affoltern,,,Affoltern i/E,,Affoltern i/E,BE,CH,www.tg-affoltern-ie.ch,,x,a,?,,,,,,
AC_40048,La Dramatique d’Aigle,,,Aigle,,Aigle <nicht ZSV>,VD,CH,www.ladram.ch,,FSSTA,a,1922-,,,,,1 C,(1984)-
AC_40049,<Theatergruppe Luzerner Bäuerinnen- und Bauernverband>,<Theatergruppe LBV>,,Alberswil,,Alberswil:  Luzerner Bäuerinnen- und Bauernverband,BE,CH,www.luzernerbauern.ch,,x,a,einmalig 2009?,,,,,,
AC_40050,Groupe choral Intyamon,,,Albeuve,,Albeuve <nicht ZSV>,FR,CH,www.gcintyamon.ch,,AFTA,a,?,,,,,1 R <Sammelcouvert>,(1987).(1987)
AC_40051,L'Echo d'Allaine,,,Alle,,Alle <nicht ZSV>,JU,CH,x,,x,a,?,,,,,4 R <Sammelcouvert>,(1985)-
AC_40052,Baselbieter Boulevard Bühne,,,Allschwil,,Allschwil <nicht ZSV>,BL,CH,x,,x,a,?,,,,,3 R <Sammelcouvert>,"(1991), 1998, (1999)"
AC_40053,Bühne 67,,,Allschwil,,Allschwil <nicht ZSV> und Schönenbuch (ZSV) <bereinigen>,BL,CH,x,,RVNWS,a,1967-,,,,,x,x
AC_40054,Seniorentheater Allschwil,,,Allschwil,,Allschwil,BL,CH,www.senioren-theater-allschwil.ch,,x,na,1998?-2015,,,,,,
AC_40055,Zum Schwarze Gyger Thater in Allschwil,"Theater ""Zum Schwarze Gyger""",,Allschwil,,Allschwil,BL,CH,www.zumschwarzegyger.ch,,RVNWS,a,1998-,,,,,,
AC_40056,Trachtengruppe Alpnach,,,Alpnach,,Alpnach,OW,CH,www.theater-alpnach.ch,,RZV,a,?,,,,,,
AC_40057,Heimatbühne Alpnach,,,Alpnach,,Alpnach,OW,CH,x,,x,na,?,,,,,,1946
AC_40058,Theater Alpnach,,,Alpnach Dorf,,Alpnach Dorf <nicht ZSV>,OW,CH,www.trachtengruppe-alpnach.ch/theater.htm,,RZV,a,1945-,,,,,x,x
AC_40059,Theatergesellschaft Alpthal,Theater Alpthal; Theater in Alpthal,,Alpthal,,Alpthal,SZ,CH,www.tg-alpthal.ch,,RZV,a,?,,,,,,
AC_40060,<Theatergruppe Jungmannschaft Alt St. Johann>,,,Alt St. Johann,,Alt St. Johann: Jungmannschaft Alt St. Johann,SG,CH,x,,x,a,?,,,,,,
AC_40061,Eigägwächs,,Theater aus Leidenschaft,Altdorf,,Altdorf <Märlibühne Separatablage>,UR,CH,www.eigaegwaechs.ch,,RZV,a,?,,,,,,
AC_40062,Jugendtheater Altdorf,,,Altdorf,,Altdorf,UR,CH,www.jugendtheater-altdorf.ch,,x,a,1987?-,,,,,,
AC_40063,Kollegium Altdorf,,,Altdorf,,Altdorf <nicht ZSV>,UR,CH,www.kmsu.ch,,x,a,?,,,,,1 C,"(1950)-1958, 1985, 1986, 1989, 1992, 1995, 2005-"
AC_40064,<Theatergruppe Männerchor Altdorf>,,,Altdorf,,Altdorf: Männerchor Altdorf <nicht ZSV>,UR,CH,x,,x,na,?,,,,,x,x
AC_40065,Märlibühne Altdorf,,,Altdorf,,"Altdorf und Altdorf <nicht ZSV>, bereinigen",UR,CH,www.eigaegwaechs.ch,,RZV,a,?,,,,,1 C,(1953)-(1957) <nicht ZSV>
AC_40066,Marionettenbühne Gelb-Schwarz,,,Altdorf,,Altdorf,UR,CH,www.marionetten-buehne.ch,,x,a,2003-,,,,,,
AC_40067,Sprechtheater in Altdorf,,,Altdorf,,Altdorf,UR,CH,x,,x,na,?,,,,,,1993
AC_40068,Theatergruppe Momänt & Co.,,,Altdorf,,Altdorf: Theatergruppe Momänt & Co.,UR,CH,x,,x,a,?,,,,,,
AC_40069,Tellspiel- und Theatergesellschaft Altdorf,Tellspielgesellschaft Altdorf,,Altdorf,,Altdorf <siehe v.a. Altdorf: Tellspiele>,UR,CH,www.tellspiele-altdorf.ch,,RZV,a,1898-,,,,,,
AC_40070,Urner Theaterleute,,,Altdorf,,Altdorf,UR,CH,x,,x,na,?,,,,,,1999
AC_40071,Volksbühne Altdorf,,,Altdorf,,Altdorf <nicht ZSV>,UR,CH,x,,x,na,?,,,,,1 C,"(1955), (1981)"
AC_40072,<Theatergruppe Männerchor Frohsinn>,,,Altendorf,,Altendorf: Männerchor Frohsinn,SZ,CH,x,,x,na,?,,,,,,1946-1955
AC_40073,Theatergruppe Altendorf,TGA,,Altendorf,,Altendorf,SZ,CH,www.tga-altendorf.ch,,RZV,a,1983-,,,,,,
AC_40074,Theaterverein Hintercher,Theater-Hintercher,,Alterswil,,Alterswil,FR,CH,www.theater-hintercher.ch,,Amathea,a,2008-,Hintercher-Bande,,,,,
AC_40075,Theater Altishofen,,,Altishofen,,Altishofen,LU,CH,www.theater-altishofen.ch,,RZV,a,1983-,,,,,,
AC_40076,Diogenes-Theater,,,Altstätten,,Altstätten <nicht ZSV>,SG,CH,www.diogenes-theater.ch,,x,a,1961-,,,,,1 C,(1984)-
AC_40077,Union-Theatergruppe,Theatergruppe Union,,Altstätten,,Altstätten <nicht ZSV>,SG,CH,x,,x,a,?,,,,,2 R <Sammelcouvert>,"(2000), (2003)"
AC_40078,Theatergruppe Hocker Alvaneu,,,Alvaneu,,Alvaneu,GR,CH,www.theatergruppe-hocker.ch,,BVV,a,1986-,,,,,,
AC_40079,ABA-Theatertruppe,,,Amriswil,,Amriswil <nicht ZSV>,TG,CH,www.aba-amriswil.ch,,x,a,?,,,,,1 R <Sammelcouvert>,(2015)-(2015)
AC_40080,<Theatergruppe Amriswil Kolping>,,,Amriswil,,Amriswil: Amriswil Kolping,TG,CH,x,,x,a,(noch existent?),,,,,,
AC_40081,Theatergruppe Human Normal,,,Amriswil,,Amriswil,TG,CH,x,,x,a,(noch existent?),,,,,,
AC_40082,Freilichtspiel in Andeer,,,Andeer,,Andeer (noch nicht ZSV),GR,CH,x,,BVV,a,?,,,,,,
AC_40083,Leuebühne Andelfingen,Leue Bühne Andelfingen,,Andelfingen,,Andelfingen,ZH,CH,www.leuebuehne.ch,,RVA,a,?,,,,,,
AC_40084,Weinlandbühne Andelfingen,,,Andelfingen,,Andelfingen,ZH,CH,www.weinlandbuehne.ch,,RVA,a,1963-,,,,,,
AC_40085,Weinländer Musikbühne,,,Andelfingen,,Andelfingen,ZH,CH,x,,RVA,,?,,,,,,
AC_40086,Kulturforum Gotthard,,,Andermatt,,Andermatt,UR,CH,www.gotthardkultur.ch,,x,a,2005-,Freilichtspiele Andermatt (Verein Freilichtspiele Andermatt),,,,,
AC_40087,Freilichtspiele Andermatt,Verein Freilichtspiele Andermatt,,Andermatt,,Andermatt,UR,CH,x,,x,na,?-2005,,Kulturforum Gotthard,,,,
AC_40088,Theaterverein Andermatt,Theater Andermatt,,Andermatt,,Andermatt,UR,CH,www.theater-andermatt.ch,,RZV,a,1983-,,,,,,
AC_40089,<Theatergruppe Jungmannschaft und Kongri Andwil-Arnegg>,,,Andwil,,Andwil: Jungmannschaft und Kongri Andwil-Arnegg,SG,CH,x,,VOV,a,(noch existent?),,,,,,
AC_40090,Kindertheater Kitt,,,Andwil,,Andwil,SG,CH,x,,x,na,?,,thearteria Andwil,,,,
AC_40091,<Theatergruppe Männerchor Andwil-Donzhausen>,,,Andwil,,Andwil: Männerchor Andwil-Donzhausen,SG,CH,www.maennerchor-andwil-arnegg.ch,,x,a,?,,,,,,
AC_40092,thearteria Andwil,,,Andwil,,Andwil,SG,CH,www.thearteria.ch,,VOV,a,2000-,Kindertheater Kitt,,,,,
AC_40093,L’Aurore,,,Antagnes,,Antagnes <nicht ZSV>,VD,CH,x,,FSSTA,a,?,,,,,? R <Sammelcouvert>,(1983)-
AC_40094,<Theatergruppe Gemischter Chor Anwil>,,,Anwil,,Anwil: Gemischter Chor Anwil,BL,CH,x,,x,a,?,,,,,,
AC_40095,Freilichtbühne Appenzell,,,Appenzell,,Appenzell,AI,CH,x,,x,a,?,,,,,,
