ID_NR_Event,Name_Event,Name_Corporate_Body_Alias,Attribute_Byline_Description,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
EFS_1,<Festspiel Eidgenössisches Schützenfest 1924>,,1924,Aarau,,Aarau: Eidgenössisches Schützenfest-Festspiel,AG,CH,x,,na,1924,,,,,1 R <Sammelcouvert,1924
EFS_2,<Festspiel Eidgenössisches Turnfes 1932t>,,1932,Aarau,,Aarau: Eidgenössisches Turnfest: Festspiel,AG,CH,x,,na,1932,,,,,1 C,1932
EFS_3,<Festspiele Baden 2002>,,,Aarau,,Aarau (ZSV),AG,CH,,,na,2002,,,,,,
EFS_4,"<Festspiel ""Helvetische Sphinx"" 1998>",,1998,Aarau,,Aarau,AG,CH,x,,na,1998,,,,,1 C,1998
EFS_5,<Festspiel Bundesfeier 1941 Altdorf>,,1941,Altdorf,,Altdorf: Bundesfeier 1941 Altdorf,UR,CH,x,,na,1941,,,,,1 C,1941
EFS_6,Tellspiele Altdorf,,,Altdorf,,Altdorf,UR,CH,www.tellspiele-altdorf.ch,,a,1899-,,,,,1 C,(1925)-
EFS_7,<Festpiel Adligenswil 1991>,,1991,Adligenswil,,Adligenswil (ZSV),LU,CH,x,,na,1991,,,,,,
EFS_8,"<Festspiel ""Ammanns Vermächtnis"">",Ammes Ueli,2002,Alt St. Johann,,Alt St. Johann,SG,CH,x,,na,2002,,,,,11 R <Sammelcouvert,(2002)-(2002)
EFS_9,"<Festpiel ""Ueli Rotach"">",,,Appenzell,,Appenzell,AI,CH,x,,na,2005,,,,,3 R <Sammelcouvert>,2005
EFS_10,Volksfestspiele Appenzell  ,Alpsteevolk,1946,Appenzell,,Appenzell,AI,CH,x,,na,1946,,,,,7 R <Sammelcouvert>,1946
EFS_11,<Festspiel Eidgenössisches Trachtenfest Basel 1961>,,1961,Basel,,Basel: Eidgenössisches Trachtenfest Basel,BS,CH,x,,na,1961,,,,,1 C,1961
EFS_12,<Festspiel 1892: Vereinigung mit Kleinbasel>,,1892,Basel,,Basel:Festspiele,BS,CH,x,,na,1892,,,,,1 R <Sammelcouvert,1942
EFS_13,<Festspiel 1935: Eigenössisches Sängerfest>,,1935,Basel,,Basel:Festspiele,BS,CH,x,,na,1935,,,,,1 R <Sammelcouvert,1933
EFS_14,<Festspiel 1938: Nordwestschweizer Jodlerfest>,,1938,Basel,,Basel:Festspiele,BS,CH,x,,na,1938,,,,,1 R <Sammelcouvert,1938
EFS_15,<Festspiel 1944: St. Jakobs-Gedenkspiel>,,1944,Basel,,Basel:Festspiele,BS,CH,x,,na,1944,,,,,5 R <Sammelcouvert,1944
EFS_16,<Festspiel 1946: Satus-Festspiel>,,1946,Basel,,Basel:Festspiele <siehe auch unter Basel: Satus-Festspiel 1946>,BS,CH,x,,na,1946,,,,,2 R <Sammelcouvert,1946
EFS_17,<Festspiel 1951: 450-Jahr-Feier Basel>,,1951,Basel,,Basel:Festspiele,BS,CH,x,,na,1951,,,,,7 R <Sammelcouvert,1951
EFS_18,<Festspiel Eidgenössisches Turnfest 1959>,,1959,Basel,,Basel:Festspiele: Festspiel 1959: Eidgenössisches Turnfest,BS,CH,x,,na,1959,,,,,1 R <Sammelcouvert,1959
EFS_19,<Festspiel 1998: Helvetik-Festspiel>,,Projekt ; 1998,Basel,,Basel:Festspiele,BS,CH,x,,na,1998,,,,,1 R <Sammelcouvert,(1997)-(1997)
EFS_20,Kulturfest 1983 Basel,,1983,Basel,,Basel,BS,CH,x,,na,1983,,,,,1 C,1983
EFS_21,Musical Basileia: Erdbeben von 1356,,,Basel,,Basel,BS,CH,x,,na,2005-2006,,,,,2 R <Sammelcouvert>,2005-2006
EFS_22,Satus-Festspiel 1946,,Schützenmatte ; 1946,Basel,,"Basel: Schützenmatt, <siehe auch unter Basel: Festspiele> ",BS,CH,x,,na,1946,,,,,1 C,1946
EFS_23,Totentanz Basel,,,Basel,,Basel,BS,CH,www.baslertotentanz.ch,,na,"1943, 1969, 1975, 1990, 2013",,,,,1 C,"1943, 1969, 1975, 1990, 2013"
EFS_24,"Festspiel ""Der Ritter vom Enschnerberg""",,1999,Bendern (FL),,Bendern (FL),,FL,x,,na,1999,,,,,4 R <Sammelcouvert>,1999
EFS_25,"<Festspiel ""Wenichachochumi"">",,850-Jahr Jubiläum Berikon,Berikon,,Berikon,AG,CH,x,,na,2003,,,,,7 R <Sammelcouvert>,(2002)-2003
EFS_26,<Festspiel Bernfest 1941>,Bärnfest,1941 ; 150 Jahre Kanton Bern,Bern,,Bern: Bernfest,BE,CH,x,,na,1941,,,,,1 C <Sammelcouvert>,1941
EFS_27,<Festspiel Bernfest 1976>,Bärnfest,1976,Bern,,Bern: Bernfest,BE,CH,x,,na,1976,,,,,1 C <Sammelcouvert>,1976
EFS_28,"Berner Sommer-Festspiele: ""Jedermann""",,1985,Bern,,Bern: Französische Kirche,BE,CH,x,,na,1985,,,,,x,x
EFS_29,Festspiel Burgerspital,,1992,Bern,,Bern (ZSV),BE,CH,x,,na,1992,,,,,,
EFS_30,Berner Festspiele,,,Bern,,Bern:Verein Berner Festspiele,BE,CH,x,,na,?,,,,,1 C,"(1937), 1938, 1939, (1945), 1947, 1948, 1950-1952, 1953, (1955), 1962-1964, (1971-1972), (1991)"
EFS_31,<Festspiel Binningen 1000-Jahre-Feier>,,1000-Jahr Feier der Gemeinde Binningen,Binningen,,Binningen,BL,CH,x,,na,2004,,,,,x,x
EFS_32,<Festspiel Bottighofen>,,1956,Bottighofen,,Bottighofen (ZSV),TG,CH,x,,na,1956,,,,,,
EFS_33,<Festspiel Brienz>,,1996,Brienz,,Brienz (ZSV),BE,CH,x,,na,1996,,,,,,
EFS_34,<Festspiel Brütten: 1100-Jahre>,,1976,Brütten,,Brütten,ZH,CH,x,,na,1976,,,,,x,x
EFS_35,<Festspiel 800 Jahre Ritterhaus Bubikon>,,Festspiel im Hof des Ritterhauses ; 1992,Bubikon,,Bubikon,ZH,CH,x,,na,1992,,,,,8 R <Sammelcouvert>,1992
EFS_36,"<Festspiel ""Üse Wäg"">",,Festspiel auf Schloss Buchegg ; 1991,Buchegg,,"Buchegg: ""Üse Wäg""",SO,CH,x,,na,1991,,,,,32 R <Sammelcouvert>,1991
EFS_37,<Festspiel Bülach: 600-Jahre-Jubiläum 1984>,,1984,Bülach,,Bülach,ZH,CH,x,,na,1984,,,,,5 R <Sammelcouvert>,1984
EFS_38,Calvenspiel 1899,,1899,Chur,,?,GR,CH,x,,na,1899,,,,,x,x
EFS_39,"<Festspiel:"" Napoleon oder das Fähnlein der sieben Aufrechten"">",,Eidgenössisches Schützenfest  Chur ; 1985,Chur,,"Chur: Eidgenössisches Schützenfest - Festspiel Chur <siehe auch Chur: Festspiel, ZSV>",GR,CH,x,,na,1985,,,,,1 C,1985
EFS_40,La Passione di Coldrerio,,Passionsspiele ; Teatro all' aperto,Coldrerio,,Coldrerio,TI,CH,x,,a,?,,,,,2 R <Sammelcouvert>,"(2004), 2012"
EFS_41,"<Festspiel ""Chilchgang"": 500 Jahre Kirche Conters>",,2016,Conters,,"Conters: ""Chilchgang"" (500 Jahre Kirche Conters) (ZSV)",GR,CH,x,,na,2016,,,,,,
EFS_42,"<Festspiel ""Bündner Wirren"" 1989>",,1989,Davos,,"Davos: ""Bündner Wirren""",GR,CH,x,,na,1989,,,,,10 R <Sammelcouvert>,1989
EFS_43,"Festspiel Davos: ""Bin-ünsch uf Tafass"" 1966",,1966,Davos,,Davos (ZSV),GR,CH,x,,na,1966,,,,,,
EFS_44,<Festspiel Kloser Einsiedeln: 1000-Jahr-Feier 1934>,,1000-Jahr-Feier ; 1934,Einsiedeln,,Einsiedeln: Kloser Einsiedeln (1000-Jahr-Feier),SZ,CH,x,,na,1934,,,,,1 C,1934
EFS_45,Paracelsus-Feier 1993,,1993 ; 500. Geburtstag Paracelsus,Einsiedeln,,Einsiedeln,SZ,CH,x,,na,1993,,,,,1 C,1993
EFS_46,Fête du blé et du ain,,1978 ; 1998,Echallens,,Echallens,VD,CH,x,,na,"1978, 1998",,,,,12 R <Sammelcouvert>,"(1996), 1997, 1998"
EFS_47,"<Festspiel ""Pierres de sang"": la prise d'Estavayer, 1475>",,1994,Estavayer-le-lac,,"Estavayer-le-Lac: ""Pierres de sang""",FR,CH,x,,na,1994,,,,,10 R <Sammelcouvert>,1994
EFS_48,"<Festspiel ""Füür & Flammä"">",,"Flums, Mels und Sargans 1250-Jahr-Feier",Flums,,"Sargans: ""Füür & Flammä"" (ZSV)",SG,CH,x,,na,2015,,,,,,
EFS_49,<Festspiel Schaffhausen 450-Jahrfeier>,,1951,Schaffhausen,,Schaffhausen: Schaffhausen 450-Jahrfeier,SH,CH,x,,na,1951,,,,,1 C,1951
EFS_50,Bundesfeierspiel 1941,,1941,Schwyz,,Schwyz (ZSV),SZ,CH,x,,na,1941,,,,,,
EFS_51,Mythenspiel 700-Jahrfeier-Festspiel,,1991,Schwyz,,Schwyz,SZ,CH,x,,na,1991,,,,,1 C,"(1987)-(1992), 2001"
EFS_52,Passionsspiel Carnot,,1933,Fribourg,,Fribourg: Festspiele,FR,CH,x,,na,1933,,,,,1 C,1933
EFS_53,"<Festspiel ""Mon Pay"">",,Eidgenössisches Schützenfest ; 1934,Fribourg,,Fribourg: Festspiele: Mon Pay ,FR,CH,x,,na,1934,,,,,1 C,1934
EFS_54,Jeu du noir et du blanc,,1955,Fribourg,,Fribourg: Festspiele,FR,CH,x,,na,1955,,,,,1 C,1955
EFS_55,"<Festspiel 500-Jahre:""Terre de Fribourg"">",,,Fribourg,,"Fribourg: Festspiele: 500-Jahre (""Terre de Fribourg"")",FR,CH,x,,na,1981,,,,,1 C,1981
EFS_56,GE 200 - Bicentenaire,,L'Entrée de Genève dans la Confédération Suisse,Genève,,Genève,GE,CH,www.ge.ch/site/ge200,,na,2014,,,,,1 C,2014-2015
EFS_57,Calvin Genève en flammes,,"Calvin, un itinéraire",Genève,,Genève: Calvin 09,GE,CH,x,,na,"2009, 2010",,,,,x,x
EFS_58,Escalade de Genève,,,Genève,,Genève: Escalade,GE,CH,www.https://live.escalade.ch,,a,"1941, 1954, 1989, 1996, 2002",,,,,1 C,"1941, 1954, 1989, 1996, 2002"
