ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Body_Alias,Attribute_Byline_Description,Ort,Geodaten,Ablageort_STS,Typ,Kanton,Land,Webadresse,Adresse,Verband,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G,
AC_110000,Fahraway,,,Arlesheim,,Zirkus: Arlesheim,Zirkus,BL,CH,www.zirkusfahraway.ch,,x,a,2005-,,,,,x,x,
AC_110001,Minicirc,,,Arlesheim,,Zirkus: Vereinzelte A-Z: Arlesheim,Kleinzirkus,BL,CH,www.minicirc.ch,,KTV,a,?,,,,,1 C,(1998)-,
AC_110002,Robiano,,Jugend Zirkus; Baselbieter Jugendzirkus,Arlesheim,,Zirkus: Kinderzirkus: Arlesheim,Kinderzirkus,BL,CH,https://robiano.ch,,x,a,1987-,,,,,1 C,(1989)-,
AC_110003,Jugendcircus Biber,Jugendzircus Biber,,Arni,,Zirkus: Diverse A-Z: Arni,Kinderzirkus,BE,CH,x,,x,a,(noch existent?),,,,,2 R <Sammelcouvert>,"(2003),(2009)",
AC_110004,Circo Furioso ,,,Baden,,Zirkus: Vereinzelte A-Z: Baden,Winterzirkus,AG,CH,x,,x,na,?,,,,,1 C,(1989)-(1990),
AC_110005,Circus Luna,,,Baden,,noch nicht in STS,,AG,CH,www.circusluna.ch,,x,a,?,,,,,x,x,
AC_110006,Arlecchino,,Zirkus,Basel,,Zirkus: Basel: Diverse,Kinderzirkus,BS,CH,x,,x,na,?,,,,,1 R <Sammelcouvert>,2002,
AC_110007,Basler Weihnachtszirkus,,,Basel,,Zirkus: Basel: Diverse,Weihnachtszirkus,BS,CH,x,,x,na,?,,,,,3 R <Sammelcouvert>,1999,
AC_110008,Circus Go,,Gasser Olympia,Basel,,Zirkus: Vereinzelte A-Z: Basel,Zirkus,BS,CH,www.circus-go.c,,x,a,?,Circus Gasser Olympia <1966-2005> <Derendingen>,,,,1 C,(2006)-,
AC_110009,Circus Maus ,,,Basel,,Zirkus: Vereinzelte A-Z: Basel,Kleinzirkus,BS,CH,x,,x,na,?,,,,,1 C,(1979)-(2002),
AC_110010,Cirqu'enflex,,,Basel,,"Basel (nicht unter Zirkus), auch Basel: Les Reines Prochaines",,,CH,www.cirquenflex.ch,,x,a,1994-,,,,,1 C,1994-(2011),
AC_110011,Jugend Circus Basilisk,Jugendzirkus Basilisk,,Basel,,Zirkus: Kinderzirkus: Basel: Jugendzirkus Basilisk,Kinderzirkus,BS,CH,www.circusbasilisk.ch,,x,a,1969/1970-,,,,,1 C,1969-,
AC_110012,Les Gorgonzolas,,,Basel,,Zirkus: Basel: Diverse,x,BS,CH,x,,x,na,?,,,,,1 R <Sammelcouvert>,1975,
AC_110013,Papperlapapp,,Zirkus,Basel,,Zirkus: Basel: Diverse,Kinderzirkus,BS,CH,x,,x,na,?,,,,,1 R <Sammelcouvert>,2002,
AC_110014,Quartiercircus Bruderholz,,,Basel,,Zirkus: Vereinzelte A-Z: Basel: Quartiercircus Bruderholz,Kinderzirkus,BS,CH,www.qcb.ch,,x,a,1978-,,,,,1 C,(1988)-,
AC_110015,Rägeboge,,Kinderzirkus; Zirkusschule,Basel,,Zirkus: Kinderzirkus: Basel,Kinderzirkus,BS,CH,www.zirkusschulebasel.c,,x,a,?,,,,,1 C,(1994)-,
AC_110016,Schlotterzirkus,Schlottercirkus,,Basel,,Zirkus: Vereinzelte A-Z: Basel,Zirkus,BS,CH,x,,x,na,1991-1992,,,,,1 C,1991-(?),
AC_110017,Weihnachtszirkus,Weihnachts-Zirkus,Basel,Basel,,Zirkus: Basel: Diverse,Weihnachtszirkus,BS,CH,x,,x,na,1993-1994,,,,,4 R <Sammelcouvert>,1993-(1994),
AC_110018,Circus Fliegenpilz,Zirkus Fliegenpilz,,Basel,,Zirkus: Vereinzelte A-Z: Basel: Zirkus Fliegenpilz,Kleinzirkus,BS,CH,x,,x,a,1981-,,,,,1 C,1981-(1990) (2006)-,
AC_110019,Show Circus,,,Basel,,Zirkus: Vereinzelte A-Z: Basel,x,BS,CH,x,,x,na,,,,,,1 C,"1999, 2002",
AC_110020,Gletscherzirkus Belalp,,,Belalp,,Zirkus: Diverse A-Z: Belalp,Zirkus,VS,CH,x,,x,na,,,,,,1 R <Sammelcouvert>,2009,
AC_110021,Bombonelli,,,Bern,,Zirkus: Kinderzirkus: Bern,Kinderzirkus,BE,CH,www.einsteinia.com/bombonelli,,x,a,1980-,,,,,1 C,1980-,
AC_110022,Weihnachtszirkus,,,Bern,,Zirkus: Vereinzelte A-Z: Bern,Weihnachtszirkus,BE,CH,x,,x,na,?,,,,,1 C,(1997)-(1999),
AC_110023,Theaterzirkus Wunderplunder,Zirkus Wunderplunder; Kinderzirkus Wunderplunder ,,Bern/Burgdorf,,Zirkus: Kinderzirkus: Bern: Zirkus Wunderplunder,Kinderzirkus,BE,CH,www.wunderplunder.ch,,assitej,a,1984-,,,,,1 C,(1986)-,
AC_110024,Zirkus Mugg,,,Betschwanden,,noch nicht in STS,Kinderzirkus,GL,CH,www.mugg.ch,,x,a,?,,,,,noch nicht in STS,noch nicht in STS,
