ID_NR_Event,Name_Event,Name_Corporate_Body_Alias,Attribute_Byline_Description,Theater_Klassifikation,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
EFLS_1,Waldbühne Allschwil,Waldtheater Allschwil,,x,Allschwil,,Allschwil,BL,CH,x,,x,,na,?,,,,,4 R <Sammelcouvert>,(1938)-(1939)
EFLS_2,"Freilichttheater ""Dr Tunsch""",,2006,x,Altdorf,,Altdorf,UR,CH,x,,x,,na,2006,,,,,1 C,2006
EFLS_3,Arosa Musik Theater,,,x,Arosa,,Arosa: Alpenoper,GR,CH,x,,x,,a,2009- (noch existent?),,,,,1 C,2009-
EFLS_4,Ope(r)n Air Waldbühne Arosa,Alpenoper Arosa,,x,Arosa,,Arosa,GR,CH,x,,x,,na,2003-2008,,Arosa Musik-Theater,,,1 C,2003-2008
EFLS_5,Freilichtspiele auf der Au,Freilichtspiele auf der Halbinsel Au; Sommernachtsspiele auf der Au,,x,Wädenswil,,Au (Halbinsel),ZH,CH,x,,x,,na,?,,,,,10 R <Sammelcouvert>,(1946)-(1947)
EFLS_6,Freilichtspiele im römischen Theater,,,x,Augst BL,,Augst BL: Theater Augst,BL,CH,x,,x,,na,1936-1946,,,,,x,x
EFLS_7,Avenches Opéra,L’Opèra d’Avenches; Festival Avenches Opéra; Festival d’Opéra Avenches; Opernfestival Avenches,,GFL,Avenches,,Avenches: Festival d’Opéra Avenches,VD,CH,www.avenchesopera.ch,,x,,a,1995-,,,,,3 S,1995-
EFLS_8,Freilichtspiel Welttheater,,Calderon ; 1944,x,Bad Ragaz,,Bad Ragaz,SG,CH,x,,x,,na,1944,,,,,9 R <Sammelcouvert>,1944
EFLS_9,Sommer-Festspiele Baden,Freilichtbühne Kurtheater Baden,,GFL,Baden,,Baden,AG,CH,x,,x,,a,(noch existent?),,,,,1 C,1985-1988 / 1990 /1992 / 1995
EFLS_10,Freilichtaufführungen St. Jakob an der Birs,,,x,Basel,,Basel,BS,CH,x,,x,,na,?,,,,,1 C,1962-1968
EFLS_11,<Freilichtspiel 1943: Friedmattpark>,,,x,Basel,,Basel: Freilichtspiele,BS,CH,x,,x,,na,1943,,,,,2 R <Sammelcouvert>,1943
EFLS_12,<Freilichtspiel 1952: Bischofshof>,,,x,Basel,,Basel: Freilichtspiele,BS,CH,x,,x,,na,1952,,,,,2 R <Sammelcouvert>,1952
EFLS_13,<Freilichtspiel 1954: Bischofshof>,,,x,Basel,,Basel: Freilichtspiele,BS,CH,x,,x,,na,1954,,,,,2 R <Sammelcouvert>,1954
EFLS_14,Freilichtspiel 1955: Batterie,,,x,Basel,,Basel: Freilichtspiele,BS,CH,x,,x,,na,1955,,,,,4 R <Sammelcouvert>,1955
EFLS_15,Freilichtspiel 1963: Letziturm,,,x,Basel,,Basel: Freilichtspiele,BS,CH,x,,x,,na,1963,,,,,1 R <Sammelcouvert>,1963
EFLS_16,Freilichtspiel 1991: Botta-Zelt auf Bäumlihofareal,,,x,Basel ; Bern <Empfa>,,Basel: Freilichtspiele,BS,CH,x,,x,,na,1991,,,,,1 C,1991
EFLS_17,Freilichtspiel 2008: Hafenbecken Kleinhüningen,,,x,Basel,,Basel: Freilichtspiele,BS,CH,x,,x,,na,2008,,,,,1 R <Sammelcouvert>,2008
EFLS_18,Freilichtspiel im Hof des blauen Hauses,,,x,Basel,,Basel,BS,CH,x,,x,,na,x,,,,,1 C,1968
EFLS_19,Freilichtspiel im Hof des Pharma-Museums,,,x,Basel,,Basel,BS,CH,x,,x,,na,x,,,,,1 C,1989 / 1991
EFLS_20,Freilichtspiel im Hof Lindenberg,Basler Ballade,,x,Basel,,Basel,BS,CH,x,,x,,na,x,,,,,1 C,1992
EFLS_21,Freilichtspiele Münsterkreuzgang,,,x,Basel,,Basel,BS,CH,x,,x,,na,x,,,,,1 C,1932 / 1975
EFLS_22,Freilichtspiele Münsterplatz,,,x,Basel,,Basel,BS,CH,x,,x,,a,(noch existent?),,,,,1 C,1945-(1996)
