ID_NR_Event,Name_Event,Name_Event_Alias,Attribute_Byline_Description,Veranstalter,Theater_Klassifikation,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
EFES_1,"""Krönung""",,Kleinkunstfestival,Gong ; Kulturbau Winterthur ; Casino Theater Burgdorf ; Agentur für ansprechenden Unfug,FES VOK,Aador ; Burgdorf ; Winterthur,,Burgdorf: Casino Theater Burgdorf,BE,CH,www.die-kroenung.ch,,x,,a,?,,,,,x,x
EFES_2,Cirqu',,Festival für aktuelle Zirkuskunst,Cirqu',FES,Aarau,,Aarau,AG,CH,www.cirquaarau.ch,,x,,a,2015-,,,1 R <Sammelcouvert>,(2017)-,,
EFES_3,Klang-November,Klangnovember,,?,FES,Aarau,,Aarau ,AG,CH,x,,x,,a,(noch existent?),,,,,1 C <Sammelcouvert>,2004
EFES_4,Kunstexpander,,interdisziplinäres Festival,x,FES,Aarau,,Aarau ,AG,CH,x,,x,,na,2005 / 2006 / 2008 / 2010,,,,,1 C <Sammelcouvert>,2005
EFES_5,Jugend Theater Festival Schweiz,,,Jugend Theater Festival Schweiz,FES STK,<wechselnde Orte>,,Aarau,AG,CH,www.jugendtheaterfestival.ch,,x,,a,?,,,,,1 C,2015-
EFES_6,Schachenfestival,,inkl. Sommernachtsfestspiele Mehrzweckhalle,x,x,Aarau,,Aarau: Schachen Aarau,AG,CH,x,,x,,na,?,,,,,1 C,1954-1957 / 1983 / 1986
EFES_7,Schultheatertreffen Oberstufenschule Aarau,,,x,FES ATV,Aarau,,Aarau (Sammelvoucert),AG,CH,x,,x,,na,?,,,,,1 C <Sammelcouvert>,1994 / 2003 / 2009
EFES_8,Theatertage Aarau,,,?,FES ATV,Aarau,,Aarau (ZSV),AG,CH,www.theatertage.ch,,x,,a,,Schweizer Volkstheatertage,,,,x,x
EFES_9,Appenzeller Figurentheater-Festival,,,Appenzeller Figurentheater-Festival,FES STP,Appenzell,,Appenzell,AI,CH,www.appenzeller-figurentheater-festival.ch,,Unima,,a,2014-,,,,,1 R <Sammelcouvert>,(2014)-
EFES_10,Appenzeller Kabarett-Tage,,,x,FES VOK,Appenzell,,Kabarett: Appenzell,AI,CH,x,,x,,na,1997?-,,,,,1 C,(2003)-(2014)
EFES_11,Arosa Kultur,,,x,x,Arosa,,Arosa,GR,CH,x,,x,,na,?,, Arosa Musik Theater,,,x,x
EFES_12,Arosa Humorfestival,Humorfestival Arosa; Arosa Humor-Festival,,Arosa Humorfestival,FES VOK,Arosa,,Kabarett: Arosa,GR,CH,www.humorfestival.ch,,x,,a,1992-,,,,,2 C,(1992)-
EFES_13,Theaterkessel Arosa,,,x,FES,Arosa,,Arosa,GR,CH,x,,x,,na,?,,,,,1 C,(1998)-(1999)
EFES_14,Festival internazionale di narrazione dei Paesi della Montagna,Festival di narrazione,,Festival internazionale di narrazione dei Paesi della Montagna,FES,Arzo,,Arzo,TI,CH,www.festivaldinarrazione.ch,,x,,a,2000?-,,,,,1 C,(2001)-
EFES_15,Danzascona,,,x,FES STT,Ascona,,Ascona,TI,CH,x,,x,,na,?,Operascona,,,,1 C,(1992)-?
EFES_16,Laban-Event,,,?,FES STT,Ascona,,Ascona,TI,CH,x,,x,,a,?,,,,,x,x
EFES_17,Operascona ,,inkl. Monte Verità: Parsifal-Wiese,x,FES,Ascona,,Ascona,TI,CH,x,,x,,na,1989-,,<später auch:> Danzascona ,,,1 C,"(1985)-1991, 2000, 2001, 2002"
EFES_18,Settimane Musicali di Ascona,,,Settimane Musicali di Ascona,FES,Ascona,,Ascona,TI,CH,www.settimane-musicali.ch,,x,,a,1946-,,,,,1 C,"(1983), 1987, 2001"
EFES_19,Festival de la Côte,,,x,FES,Aubonne,,Aubonne,VD,CH,x,,x,,na,?,,,,,6 R <Sammelcouvert>,(1956)-(2003)
EFES_20,Baden Magisch,,Internationales Festival der Magie,?,FES,Baden,,Baden,AG,CH,www.badenmagisch.ch,,x,,a,2007-,Magic Nights,,,,1 C,(2014)-
EFES_21,Badenfahrt,,,?,FES,Baden,,Baden,AG,CH,www.badenfahrt.ch,,x,,a,1923-,,,,,1 C,1977 / 1980 / 1982 / 1987 / 1991 / 1997 / 2007
EFES_22,Figura Theaterfestival,,"Internationale Biennale des Bilder-, Objekt- und Figurentheaters",Figura Theaterfestival,FES STP,Baden,,Baden,AG,CH,www.figura-festival.ch,,Unima,,a,1994-,,,,,2 C,1994-
EFES_23,Jugentheatertreffen,,,x,FES STK,Baden,,Baden,AG,CH,x,,x,,na,?,,,,,1 C,"(1981), (1985)"
EFES_24,Magic Nights,,,x,x,Baden,,Baden,AG,CH,x,,x,,na,?,,"Baden Magisch, Internationales Festival der Magie",,,1 R <Sammelcouvert>,1994
EFES_25,Nacht des Theaters,,halle 36 ABB-Areal,x,FES,Baden,,Baden,BS,CH,x,,x,,na,1992,,,,,1 C,1992
EFES_26,Opernspiele Baden,,,,,Baden,,Baden: Kurtheater,AG,CH,x,,x,,na,?,,,,,x,x
EFES_27,Seniorentheaterfestival Baden,,,?,FES ATV,Baden,,Baden,AG,CH,x,,x,,a,"1992, 1996 (noch existent?)",,,,,x,x
EFES_28,Kultursommer Balzers,,,Kultursommer Balzers,FES,Balzers,,Balzers,,FL,x,,x,,a,?,,,,,x,x
EFES_29,Art Fair: Liste: Performing Projects,,,Art Fair,x,Basel,,Basel: Art Basel,BS,CH,www.liste.ch/en/the-show/performances.html,,x,,a,2005-,,,,,x,x
EFES_30,Basler Schultheaterwoche,,,x,FES ATV,Basel,,Basel: Stadttheater: Kleine Bühne,BS,CH,x,,x,,na,?,,,,,x,x
EFES_31,Culturescapes,,,Culturescapes,FES,Basel,,Basel,BS,CH,www.culturescapes.ch,,x,,a,2003?-,,,,,1 C,2006-
EFES_32,Dalbeloch-Spektakel,Spektakel im Dalbeloch,,?,FES,Basel,,Basel,BS,CH,x,,x,,a,?,,,,,1 C,1987-(1983)
EFES_33,Europäischer Musikmonat,,,x,FES,Basel u.a.,,Basel,BS,CH,x,,x,,na,2001,,,,,1 C,2001
EFES_34,FigurenTheaterFestival Basel,Figurentheater-Festival Basel,,FigurenTheaterFestival Basel,FES STP,Basel,,Basel,BS,CH,www.figurentheaterfestival.ch,,Unima,,a,2003-,,,,,1 C,2003-(2009)
EFES_35,Humoratorium,,Projekt ; inkl. Kongresse,x,x,Basel,,Basel,BS,CH,x,,x,,na,?,,,,,x,x
EFES_36,It’s The Real Thing,Basler Dokumentartage,Basler Dokumentartage,Paraform Produktionen ; Kaserne Basel ; Roxy Theater,FES,Basel,,Basel,BS,CH,www.itstherealthing.ch,,x,,a,2013?-,,,,,1 C,2013-
EFES_37,JETanZT,,Festival Freie Tanzszene,x,FES STT,Basel,,Basel,BS,CH,x,,x,,na,1991,,,,,1 C,1991
EFES_38,Jugend Kultur Festival Basel,JKF,,?,FES,Basel,,Basel,BS,CH,jkf.ch/jkf/home/festival.html,,x,,a,1997-,,,,,1 C,1997 / 2000 / 2003 / 2005 / 2013
EFES_39,Kleinbasler Theaterfestival,,,x,FES,Basel,,"Basel: Kleinbasler Theaterfestival (Grundsätzliches, mehrere Aufführungen ausländische Gastspiele), Stammort Schweizer Theater (wenn 1-2 Aufführungen)",BS,CH,x,,x,,na,"1985, 1986",,,,,x,x
EFES_40,Martinu Festtage,,,?,FES,Basel,,"Martinu, Bohuslav",BS,CH,www.martinu.ch,,x,,a,1995-,,,,,x,x
EFES_41,Musik der Welt,,Festival,x,FES,Basel,,Basel,BS,CH,x,,x,,na,1987-2001,,,,,1 C,(1994)-2001
EFES_42,PerformaCity ,,,?,FES,Basel,,Basel: Kaserne Basel,BS,CH,x,,x,,a,2014 (einmalig?),,,,,1 R <Sammelcouvert>,(2014)-
EFES_43,Spiilplätz (Festival),,Nationales Festival der Theaterjugendclubs,?,FES STK,Basel,,"Basel: Theater Basel, Div. <eigenl. Wechselnde Orte: Basel, Bern, Luzern, Zürich>",BS,CH,x,,Assitej,,a,?,,,,,1 C,2000 / 2002 / 2004 / 2005/ 2006 / 2011
EFES_44,Tango-Festival Basel,Internationales Tangofestival Ostertango,,?,FES STT,Basel,,Basel,BS,CH,www.tangobasel.ch/Aktuell/OsterTango.html,,x,,a,2008-,,,,,1 C,2008-(2011)
EFES_45,Tanz in Stücken,,,?,FES STT,Basel ; Zürich u.v.a.,,Basel (siehe auch Bern und Zürich),BS,CH,x,,x,,na,1989-1997,IGTZ (Interessengemeinschaft Tanz in Zürich),,,,1 C  und 1 C und 1 C,1994 (Basel) 1995-1997 (Bern) 1992-1997 (Zürich)
EFES_46,Tanzszene Schweiz '85,,,x,x,Basel,,Basel: Stadttheater: Kleine Bühne,BS,CH,x,,x,,na,?,,,,,x,x
EFES_47,Tanztage Basel,Basler Tanztage,,?,FES STT,Basel,,Basel,BS,CH,x,,x,,a,(noch existent?),,,,,2 C,2002-(2011)
EFES_48,Theaterfestival Basel,Theater Festival Basel,,Theaterfestival Basel,FES,Basel,,Basel,BS,CH,www.theaterfestival.ch,,x,,a,?-,Welt in Basel,,,,2 S,1991-
EFES_49,Theaterschiff,,internationales Jugendtheaterprojekt,x,FES STK,Basel ; Zürich,,Basel und Zürich,BS,CH,x,,x,,na,1949 und 1952,,,,,1 C <Zürich) 1 C <Basel),1949 <Zürich> 1952 <Basel>
EFES_50,Treibstoff Theatertage Basel,,,Treibstoff Theatertage Basel,FES TFS,Basel,,Basel,BS,CH,www.treibstoffbasel.ch,,x,,a,2004-,,,,,1 C,2004-
EFES_51,u.a. ,,Festival,x,FES,Basel,,Basel,BS,CH,x,,x,,na,?,,,,,1 C,1993
EFES_52,Welt in Basel,,,x,FES,Basel,,Basel: Kaserne Basel,BS,CH,x,,x,,na,1991-?,,Theaterfestival Basel,,,x,x
EFES_53,Welttanz-Festival Basel,Welttanztag Basel,,x,FES STT,Basel,,Basel,BS,CH,x,,x,,na,?,,,,,1 C,"1993, 1994, 2002"
EFES_54,Wildwuchs Festival,,,Wildwuchs Festival,FES,Basel,,Basel,BS,CH,www.wildwuchs.ch,,Premio,,a,2001-,,,,,1 C,2001 / 2004 / 2007 / 2009
EFES_55,Chi è di scena,,,Teatro Sociale?,FES,Bellinzona,,Bellinzona: Teatro Sociale,TI,CH,www.teatrosociale.ch/rassegna/chi-é-di-scena,,x,,a,?,,,,,x,x
EFES_56,com.x,,festival della comicità,Teatro Sociale?,FES VOK,Bellinzona,,Bellinzona: Teatro Sociale,TI,CH,www.teatrosociale.ch,,x,,a,?,,,,,x,x
EFES_57,Festival internazionale del teatro per l'infanzia e la gioventù,,,x,FES STK,Bellinzona,,Bellinzona,TI,CH,x,,x,,na,?,,,,,x,x
EFES_58,Homo Ridens Festival,Homoridensfestival,,Homo Ridens Festival,FES VOK,Bellinzona,,Bellinzona <ab 2002 Bellinzona: Teatro Sociale>,TI,CH,www.homoridensfestival.ch,,x,,a,?,,,,,1 C,(1988)-(2001)
EFES_59,Opera Bellinzona,Festival Castelgrande,Opernfestival,x,FES,Bellinzona,,Bellinzona,TI,CH,x,,x,,na,1999-2003,,,,,1 C,"1999-2003, 2011"
