ID_NR_Corporate_Body,Name_Corporate_Body,Name_Corporate_Body_Alias,Attribute_Byline_Description,Kuenstler,Ort,Geodaten,Ablageort_STS,Kanton,Land,Webadresse,Adresse,Verband,Rep,Status,Eckdaten_nicht_STS,fruehere_Namen,spaetere_Namen,Dokumente_VP_V,Dokumente_VP_G,Dokumente_PA_V,Dokumente_PA_G
AC_20000,Compagnie Hertzblut,,,"Schuran, Uwe ; Smart, Graham",Aadorf ?,,Aadorf: Compagnie Hertzblut,TG,CH,www.hertzblut.ch,,x,,a,?,,,,,1 C,(2007)-(2007)
AC_20001,Die Boten,,christliche Bühne ; Tourneetheater,"Dentler, Erich ; Dentler, Daniel ; Dentler, Deborah ; Dentler, Mirjam",Aadorf,,Aadorf: Die Boten,TG,CH,www.dieboten.ch,,x,,a,1957-,,,,,1 C,(1977)-
AC_20002,Tanztheater Divertimento ,,,"Puccio, Carmen ; Ledermann, Anita ; Baldo, Bettina",Aadorf,,Aadorf,TG,CH,www.tanztheaterhaus.ch,,x,,a,?,,,,,1 C,(2014)-
AC_20003,3B kulturelle produktionen,,,"Basler, Nadine ; Blum, Adi ; Brem, Martha ; Morger, Susanne",Aarau,,Aarau,AG,CH,www.3bbb.ch,,x,,a,?,,,,,x,x
AC_20004,Aargauer Kammerorchester,AKO,,x,Aarau,,Aarau,AG,CH,x,,x,,a,2003-,,,,,1 C,2003-(2007)
AC_20005,Companya Amazonya,,,?,Aarau,,Aarau,AG,CH,x,,x,,na,?,,,,,1 C <Sammelcouvert>,2003
AC_20006,Aargauer Operette ,Aaarauer Operette,,x,Aarau,,Aarau ,AG,CH,x,,x,,na,?,,,,,1 C,1992
AC_20007,argovia philharmonic,,,x,Aarau,,Aarau: Aargauer Symphonie-Orchester,AG,CH,www.argoviaphil.ch,,x,,a,1963- bzw. 2013-,Aargauer Symphonie Orchester < bis 2012>,,,,1 C,1994 / 1999 / 2009
AC_20008,Attacca,,,?,Aarau,,Aarau,AG,CH,x,,x,,na,1993?,,,,,1 C,1993
AC_20009,Bläsersolisten Aargau,,,x,Aarau,,Aarau,AG,CH,www.blaesersolisten.ch,,x,,a,1995-,,,,,1 1 C <Sammelcouvert>,2004
AC_20010,Bumerang ,,Kabarett,"Kamm, Mariann ; Wespi, Markus ; Halder, Ulrich ;Wartmann, Thomas",Aarau,,STS Kabarett: Aarau,AG,CH,x,,x,,na,?,,,,,1 C,(1966)-(1967)
AC_20011,Duo Bildhübsch,,,"François, Joséphine ; Ender, Laura",Aarau ,,Aarau: Duo Bildhübsch,AG,CH,www.duobildhuebsch.ch,,x,,a,2011-,,,,,1 C,2011-
AC_20012,First Steps/AG ,,Förderprojekt,"Kelting, Peter-Jakob",Aarau,,Aarau: Tuchlaube,AG,CH,www.tuchlaube.ch,,x,,a,?,,,,,x,x
AC_20013,Gee Gee Express,,,"Walker, Anna ; Egloff, Jonas ; Prisi, Livio ; Oes, Patrick ; Achinger, Sophie",Aarau ?,,Aarau,AG,CH,x,,x,,a,?,,,,,x,x
AC_20014,HelvetikKulturKollektiv,,,?,Aarau,,Aarau,AG,CH,x,,x,,na,1998?,,,,,1 C,1998
AC_20015,Junge Marie,,,x,Aarau,,Aarau: Theater Marie,AG,CH,http://www.theatermarie.ch/junge-marie,,x,,a,2014-,,,,,x,x
AC_20016,Kammerensemble Modulamur,,,x,Aarau ?,,Aarau,AG,CH,x,,x,,na,?,,,,,1 C <Sammelcouvert>,1982 / 1984
AC_20017,Mignon Dancers,,,?,Aarau,,Aarau,AG,CH,https://mignondance.jimdo.com,,x,,a,1982-2016,,,,,1 C,1982-(1997)
AC_20018,Musiktheater Aargau,,,x,Aarau,,Aarau,AG,CH,x,,x,,na,1990-?,,,,,1 C,1990-(1995)
AC_20019,Nachtau,,,"Praxmarer, Priska ; Mösli, Vivianne ; Langenstein, Marie Theres ; Nielsen, Jens ; Gaub, Katarina",Aarau,,Aarau,ZH,CH,www.nachtau.ch,,x,,a,2008-,,,,,x,x
AC_20020,Nones Theater,,,?,Aarau ?,,Aarau,AG,CH,x,,x,,na,1986-?,,,,,1 C,1986-(1987)
AC_20021,North by Northwest Kulturprojekte,,,"Kelting, Peter-Jakob",Aarau,,"auch unter: Bern: Schlachthaus, bereinigen",AG,CH,x,,x,,a,?,,,,,x,x
AC_20022,Pasta del Amore,,,"Maurer, Bruno ; Gysi, Christian",Aarau,,Aarau,AG,CH,x,,x,,na,1998-2010,,,,,1 C,1999-(2009)
AC_20023,Reich und Schön,,,"Reich, Sabina ; Bürgisser, Andreas",Aarau ?,,Aarau,AG,CH,www.reich-schoen.ch,,x,,a,2015-,,,,,1 C,(2016)-
AC_20024,Roikkuva,Compagnie Roikkuva,,"Muntwyler, Andreas ; Tikka, Ulla ; Stäger, Lukas ; Durrer, Michael",Wohlen,,Aarau,AG,CH,www.roikkuva.com,,x,,a,2011-,,,,,1 C <Sammelcouvert>,2012
AC_20025,Salto & Mortale ,salto&mortae; Theater salto&mortale; Theater Salto & Mortale,,"Bisaz, Clo ; Truttmann, Thomy ; Meyer, Adrian",Beinwil <früher Aarau ?>,,"Bisaz, Clo",AG,CH,www.salto-mortale.ch/,,x,,a,?,,,,,,
AC_20026,Theatergruppe Senges-Faust im Saalbau,,,x,Aarau,,Aarau: Stadttheater Aarau: Theatergruppe Senges-Faust,AG,CH,x,,x,,na,1942-1943,,,,,1 C,1942-1943
AC_20027,The Lady Musicke,,,"Meier, Christine M. ; Tanner, Christian",Aarau ?,,Aarau: The Lady Musicke,AG,CH,x,,x,,a,?,,,,,Aarau (nicht ZSV),1999
AC_20028,Theater am Rosegarte,,,"Hostettler, Thomas ; Madörin, Charlotte ; Christen, Regina u.a.",Aarau,,Zofingen (früher auch: Pfaffnau),AG,CH,x,,x,,a,?,,,,,x,x
AC_20029,Theater Marie,,,x,Aarau <vor 1989 Luzern>,,Aarau,AG,CH,www.theatermarie.ch,,x,r,a,1983-,"Theaterladen Aarau, TheaterUnser, Theater M.A.R.I.A. Auch: PyjaM.A.R.I.A, RottaM.A.R.I.A. Zürich, M.A.R.I.A.unser Aarau",,,,2 S,(1988)-
AC_20030,Theaterladen Aarau,,,?,Aarau,,Aarau,AG,CH,x,,x,,na,?,,Theater Marie,,,x,x
AC_20031,TheaterUnser,,,?,Erlinsbach,,Aarau oder Erlinsbach,AG,CH,x,,x,,na,?,,Theater Marie,,,x,x
AC_20032,Wahrhaftige Produktionen,,,"Ender, Laura u.a.",Aarau,,Aarau,AG,CH,www.lauraender.ch,,x,,a,2009-,,,,,x,x
AC_20033,youTOO Junges Theater Tuchlaube,,,x,Aarau,,Aarau ,AG,CH,x,,x,,na,2007?-2008?,,Junges Theater Tuchlaube unter : Theater Tuchlaube,,,1 R <Sammelcouvert>,2007
AC_20034,Wir & Co.,Wir&Co.,,"Papst, Anna ; Welter, Eva ; Süster-Andersen, Anna",Aarau,,Aarau,AG,CH,x,,x,,a,?,,,,,1 C,(2016)-
AC_20035,Zapfenzieher ,Cabaret Zapfenzieher,Cabaret,?,Aarau,,Kabarett: Aarau ,AG,CH,x,,x,,a,?,,,,,1 C,1957
AC_20036,Ensemble klappVox,,,"Hunger, Agnes ; Balmer, Regula",Adligenswil,,Adligenswil,LU,CH,x,,x,,a,?,,,,,x,x
AC_20037,Bruno+Bruno Produktionen,Bruno und Bruno,,"Hollenstein, Bruno ; Tiefenauer, Brundo",Adliswil,,Kabarett: Adliswil,ZH,CH,x,,x,,a,?,,,,,x,x
AC_20038,statttheater,,,"Gärtner, Beat ; Schmidlin, Brigitte ; Krejci, Kamil",Adliswil,,Adliswil,ZH,CH,www.statttheater.ch,,x,,a,?,,,,,x,x
AC_20039,Schmirinskis,,,"Schmidlin, Stefan ; Rindlisbacher, René",Affoltern a/A,,Kabarett: Affoltern a/A ,ZH,CH,x,,x,,na,1986-2001,,,,,1 C,(1991)-2001
AC_20040,Compagnia Teatrale Flavio Sala,,,"Sala, Flavio ; Nervi, Rosy ; Rezzonico, Leonia ; Zanchi, Sandra ; Casati, Fabrizio "" Rottoli, John ; Valsangiacomo, Orio ; Franscella, Beppe ; Bertazzi, Moreno",Agarone,,"Sala, Flavio",TI,CH,www.compagniaflavio.ch,,x,,a,2014-,,,,,x,x
AC_20041,D’Hubachers,,,"Valverde, David ; Müller, Manuel (""Mallas"" ; Amstutz, Don Carlos",Allschwil,,Allschwil,BL,CH,www.hubachers.ch,,x,,a,?,,,,,1 R <Sammelcouvert>,(2007)-
AC_20042,Schublädli,,,?,Allschwil,,Allschwil,BK,CH,x,,x,,na,?,,,,,1 R <Sammelcouvert>,(1983)-(1983)
AC_20043,Selbdritt Theater,,,"Buess, Mirjam ; Härtner, Thomas ; Glazmann, Paul",Allschwil,,Allschwil,BL,CH,x,,x,,a,?,,,,,x,x
AC_20044,"Sprechoper ""Attinghausen"" ",,"Produktion, UA","Gianotti, Gian ; Baumann, Christoph ; Nager, Franz Xaver u.a.",Altdorf,,Altdorf,UR,CH,x,,x,,na,1993,,,,,1 C,1993
AC_20045,"Sprechoper ""Ds Gräis""",,,"Gianotti, Gian ; Baumann, Christoph ; Nager, Franz Xaver u.a.",Altdorf,,Altdorf,UR,CH,x,,x,,na,1995/1996,,,,,1 C,"1995, 1996, 2002"
AC_20046,Mummenschanz,,,"Bosshard, Andres ; Schürch, Beni ; Frassetto, Floriana",Altstätten,,Zürich,SG,CH,www.mummenschanz.com,,KTV,,a,1972-,,,,,2 S,(1971)-
AC_20047,Diva Minerva,,,?,Appenzell,,Appenzell,AI,CH,x,,x,,a,?,,,,,x,x
AC_20048,Theaterposttheater,,,"Schwarz, Kurt u.a.",Appenzell,,Appenzell,AI,CH,x,,x,,na,1993,,,,,16 R <Sammelcouvert>,1993
AC_20049,Duo Full House,,,"Camus, Henry ; Schmutz, Gaby",Ascona <früher: Zürich>,,Zürich: Duo Full House,TI,CH,www.duofullhouse.com,,KTV,,a,?,,,,,1 C,(1999)-(2011)
AC_20050,Obviam Est,Compagnia Obviam Est,choreographisches Theater,"Bartelet, Martin M.",Ascona,,Ascona (provisor. Ablage),TI,CH,www.obviamest.com,,TASI,,a,?,,,,,1 C,(2003)-
AC_20051,Die Freischwimmer,,,"Camardese, Belinda ; De Nadai, Aldo ; Barth, Marianne ; Müller, Marco",Au,,Au,ZH,CH,x,,x,,a,(noch existent?),,,,,x,x
AC_20052,Théâtre des Songes,,,"Bujard, Séverine",Aubonne,,Aubonne,VD,CH,x,,x,,na,?,,,,,11 R <Sammelcouvert>,(1993)-(2003)
AC_20053,Compagnie T2+,Compagnie t deux plus; Cietdeutxplus,,"Egger, Christian ; Carrard, Anne",Avry-Devant-Pont,,Avry-Devant-Pont,FR,CH,www.cietdeuxplus.ch,,x,,a,1998-,,,,,1 R <Sammelcouvert>,(2001)-(2001)
AC_20054,Compagnie Trükk,Cie. trükk,Tanz,"Sommer, Martina ; Talàt, Eveline",Baar,,Baar: Compagnie Trükk,ZG,CH,www.truekk-tanz.ch,,x,,a,2009-,,,,,2 R <Samelcouvert>,(2009)-(2009)
AC_20055,Dirty Hands ,,Breakdance,"Dossenbach, Jan ; Hofmann, Michael ; Dossenbach, mark",Baar,,Baar,ZG,CH,www.dirtyhands.ch,,KTV,,a,?,,,,,x,x
AC_20056,Edelmais,Duo Edelmais,,"Rindlisbacher, René ; Furrer, Sven",Baar,,"Rindlisbacher, René",ZG,CH,www.edelmais.ch,,x,,a,?,,,,,,
AC_20057,Theaterimpuls,,,"Masüger, Giannina ; Körner, Roland ; Weidmann, Markus ; Schmidlin, Brigitte ; Wanzenried, Peter u.a.",Baar,,Baar,ZG,CH,www.theaterimpuls.ch,,x,,a,?,,,,,x,x
AC_20058,taff Theaterproduktion,taff-theaterproduktion,,"Hofmmann, Ute",Bad Ragaz,,Bad Ragaz,SG,CH,www.utehoffmann.net,,KTV,,a,?,,,,,3 R <Sammelcouvert>,(2010)-(2010)
AC_20059,Cabaret Rüeblisaft,,,"Bruggmann, Alfred ; Furrer, Vera",Baden,,Kabarett: Baden,AG,CH,x,,x,,na,1953-1976,,,,,1 C,"(1954)-(1973), (1991)"
AC_20060,Canto battuto,,,"Nievergelt, Eva ; Brunner, Christoph",Baden ,,Baden ,AG,CH,www.cantobattuto.ch,,x,,a,1999-,,,,,1 C,(2005)-(2009)
AC_20061,Claque,Die Claque,,"Keller, Anton ; Lang, Reinhard ; Grädel, Jean u.a.",Baden,,Baden ,AG,CH,x,,x,r,na,1968-1992,,forum claque,,,8 S,1969-(2005)
